{key: "s", note: "D4", time :0}, 
{key: "d", note: "E4", time :484}, 
{key: "f", note: "F#4", time :861}, 
{key: "g", note: "G4", time :1183}, 
{key: "h", note: "A4", time :1455}, 
{key: "j", note: "B4", time :1832}, 
{key: "k", note: "C#5", time :2145}, 
{key: "z", note: "E5", time :2684}, 
{key: "x", note: "F#5", time :3817}, 
{key: "d", note: "E4", time :48598}, 
{key: "g", note: "G4", time :48985}, 
{key: "j", note: "B4", time :49101}, 
{key: "x", note: "F#5", time :49479}, 
{key: "d", note: "E4", time :150441}, 
{key: "d", note: "E4", time :150593}, 
{key: "d", note: "E4", time :150764}, 
{key: "d", note: "E4", time :150915}, 
{key: "d", note: "E4", time :151061}, 
