{key: "s", note: "D4", time :0}, 
{key: "d", note: "E4", time :181}, 
{key: "f", note: "F4", time :377}, 
{key: "j", note: "A#4", time :594}, 
{key: "x", note: "F5", time :861}, 
{key: "d", note: "E4", time :1707}, 
{key: "g", note: "G4", time :1908}, 
{key: "j", note: "A#4", time :2079}, 
{key: "x", note: "F5", time :2301}, 
{key: "w", note: "A2", time :3268}, 
{key: "r", note: "C3", time :3499}, 
{key: "u", note: "F3", time :3731}, 
{key: "o", note: "A3", time :3937}, 
{key: "d", note: "E4", time :14657}, 
{key: "d", note: "E4", time :15564}, 
